iteration,total_runs,obs_realization,par_realization,zball,zb003,zb007,zb005,zb001,zb002,zb006,zb004,burnin,valid,oobs
0,266,0,0,0.841962,192461,32025.2,198963,684743,851911,203592,285684,0,0,0
0,266,1,1,0.854967,192292,33120.1,197062,696347,850321,198444,283971,0,0,0
0,266,2,2,0.832264,192409,33791.4,197415,690491,1.00933e+06,202740,337247,0,0,0
0,266,3,3,0.858807,192962,32760.9,198362,691442,838579,198606,279912,0,0,0
0,266,4,4,0.784421,192743,32804.1,197218,701979,984686,199991,322292,0,0,0
0,266,5,5,0.886641,192131,32092.6,198217,694080,1.05526e+06,198196,345229,0,0,0
0,266,6,6,0.89678,191965,32569.2,199122,697993,836223,193334,277243,0,0,0
0,266,7,7,0.864591,192347,32088.5,197505,693946,848158,194810,274773,0,0,0
0,266,8,8,0.834236,193003,33111.9,198269,696237,961717,194812,313317,0,0,0
0,266,9,9,0.892925,192227,30721.2,197976,687663,839080,200479,283531,0,0,0
0,266,10,10,0.82202,192603,32583.2,196915,702139,922192,202234,303902,0,0,0
0,266,11,11,0.894995,191773,32754.9,198137,691073,889046,194698,293471,0,0,0
0,266,12,12,0.873041,192598,32487.3,197626,690604,989283,195830,328025,0,0,0
0,266,13,13,0.896401,192411,32227.9,196849,687723,839334,194334,280106,0,0,0
0,266,14,14,0.829568,192682,33212.5,198227,692563,861043,193525,286749,0,0,0
0,266,15,15,0.876941,191481,32863.7,197372,684054,842203,195865,280433,0,0,0
0,266,16,16,0.819625,191981,33468.2,197234,694975,870971,203908,284494,0,0,0
0,266,17,17,0.842431,192873,33087.9,199706,687807,847022,198429,282020,0,0,0
0,266,18,18,0.840954,192558,32842.2,197088,690785,845063,196322,282575,0,0,0
0,266,19,19,0.876559,191776,33445.8,197664,724028,849508,201235,281191,0,0,0
0,266,20,20,0.865727,191818,33674.4,197898,701230,892611,194754,294753,0,0,0
0,266,21,21,0.789192,192673,32110.5,197236,694789,901394,206858,294203,0,0,0
0,266,22,22,0.778914,192919,33262.5,198474,718990,957692,209039,307864,0,0,0
0,266,23,23,0.802772,192968,32351.7,199443,690754,841369,205802,280456,0,0,0
0,266,24,24,0.874171,192281,33076.1,198309,687307,878129,192116,292455,0,0,0
0,266,25,25,0.866966,192263,32156.7,196361,695403,841160,203581,278871,0,0,0
0,266,26,26,0.821003,193069,33665.3,197886,693115,976718,197880,321565,0,0,0
0,266,27,27,0.898755,192032,33092.7,197452,686765,834807,194339,281032,0,0,0
0,266,30,30,0.888397,191609,32156.5,197600,688602,838011,199794,279004,0,0,0
0,266,31,31,0.89571,192102,34964.9,200444,699106,857477,191477,280098,0,0,0
0,266,32,32,0.801878,192377,33106.4,198148,702751,917012,205806,302038,0,0,0
0,266,33,33,0.813454,192815,32970.5,199986,688990,870714,201617,289911,0,0,0
0,266,34,34,0.84308,192545,31355.9,198528,1.00867e+06,1.15371e+06,198220,281811,0,0,0
0,266,35,35,0.808066,192758,32560.1,196358,690047,866992,204073,285880,0,0,0
0,266,36,36,0.87467,192258,32283.3,197451,690608,1.04673e+06,196702,343032,0,0,0
0,266,37,37,0.887309,192512,31503.5,197686,709704,856152,199150,283311,0,0,0
0,266,38,38,0.782809,192014,32110.4,199464,689743,841255,204297,281156,0,0,0
0,266,40,40,0.828997,192183,33197.3,197199,727493,925028,204042,295792,0,0,0
0,266,41,41,0.878212,192156,31587.5,197069,701999,843784,197135,278968,0,0,0
0,266,42,42,0.858238,192218,32438,198175,688590,926852,194241,307354,0,0,0
0,266,43,43,0.781517,192160,32379.2,198165,695436,882834,208514,291814,0,0,0
0,266,44,44,0.866317,192430,33282.7,198893,686134,839882,192994,279955,0,0,0
0,266,45,45,0.867775,192477,32734.8,199262,700607,977637,197379,319672,0,0,0
0,266,46,46,0.865696,192259,31494.8,197275,692129,836762,204656,282605,0,0,0
0,266,47,47,0.893009,192566,33273.9,198486,712781,1.00848e+06,200317,331167,0,0,0
0,266,49,49,0.861841,191483,32472.9,197904,702047,1.08782e+06,196880,358152,0,0,0
0,266,50,50,0.803155,192251,32862.4,197263,688447,848765,200566,284283,0,0,0
0,266,51,51,0.86707,192772,33070.1,197915,687155,1.0414e+06,198393,342235,0,0,0
0,266,52,52,0.857851,192107,32421.3,198568,686007,994466,192600,327380,0,0,0
0,266,53,53,0.875614,192521,31698.7,199422,697264,1.03445e+06,200901,341604,0,0,0
0,266,54,54,0.852097,192508,31005.4,197938,696862,846283,202093,283706,0,0,0
0,266,56,56,0.801788,192680,31492.9,197101,699466,974960,204446,318545,0,0,0
0,266,57,57,0.857165,191948,32210.6,197030,688923,832144,195110,278476,0,0,0
0,266,58,58,0.831917,192416,32768.2,198119,688737,840462,199404,281463,0,0,0
0,266,59,59,0.807474,192609,33800.8,199919,692959,843607,201886,282746,0,0,0
0,266,60,60,0.826247,192639,32013.5,199000,714865,858897,203864,282171,0,0,0
0,266,62,62,0.834001,192369,32863.4,197658,709961,964527,199088,315360,0,0,0
0,266,63,63,0.836753,191183,31831.9,197308,694336,847664,201388,287033,0,0,0
0,266,64,64,0.858602,192705,33522.6,197791,695225,906899,199153,301043,0,0,0
0,266,65,65,0.889359,192535,31818.3,195975,708712,846572,193843,281093,0,0,0
0,266,66,66,0.796905,192587,33293.7,198470,692633,839305,201375,279994,0,0,0
0,266,67,67,0.83626,191838,29976.2,197132,685520,968826,203634,321833,0,0,0
0,266,68,68,0.77145,192455,32791.9,198984,701229,850439,207432,283350,0,0,0
0,266,69,69,0.889323,192423,32666.8,198032,689875,1.19965e+06,197431,396994,0,0,0
0,266,70,70,0.873259,192509,32131.8,199500,689328,1.10377e+06,204937,369120,0,0,0
0,266,71,71,0.857604,192930,31753.7,196916,695674,853938,201610,285112,0,0,0
0,266,72,72,0.862196,193191,32487.9,199517,732075,864764,198856,279925,0,0,0
0,266,75,75,0.858521,191631,31603.9,196775,687936,857926,200393,285127,0,0,0
0,266,76,76,0.847077,192450,32318.4,197097,689612,936510,197612,302907,0,0,0
0,266,78,78,0.810239,192315,33923.8,197811,712035,858050,199907,283642,0,0,0
0,266,79,79,0.819988,191940,32518.7,197412,700749,1.01534e+06,203733,334266,0,0,0
0,266,80,80,0.859853,192088,33136.3,194526,686332,835315,198287,280254,0,0,0
0,266,81,81,0.888412,192555,32240.7,196094,694232,827517,191012,274004,0,0,0
0,266,82,82,0.877345,193420,32740.6,198011,729811,1.43439e+06,196981,486347,0,0,0
0,266,84,84,0.882399,191830,32845.8,198881,688247,839617,199299,279221,0,0,0
0,266,86,86,0.842063,192517,33275.9,196591,691342,866850,197292,288728,0,0,0
0,266,87,87,0.884027,192501,32257.1,197702,687745,925290,195724,304607,0,0,0
0,266,88,88,0.907389,192289,32508,197710,688129,993612,195308,327301,0,0,0
0,266,89,89,0.889718,191941,31162.4,199701,687135,843266,199198,284147,0,0,0
0,266,90,90,0.845374,192552,31917,197661,704542,837264,197068,278434,0,0,0
0,266,91,91,0.861098,192344,31853.3,197759,689904,869850,198002,287244,0,0,0
0,266,92,92,0.856052,192183,32432.6,197231,687386,848032,197322,282946,0,0,0
0,266,93,93,0.82121,191997,31059.9,198532,686943,845107,207048,282963,0,0,0
0,266,94,94,0.877815,192693,32999.4,200068,707561,864933,196114,283587,0,0,0
0,266,95,95,0.876395,192152,32588.3,198959,706904,1.28019e+06,202193,427900,0,0,0
0,266,97,97,0.888575,192669,31899.3,198499,694027,906214,193963,301033,0,0,0
0,266,98,98,0.857811,192358,31556,199618,689960,842979,200664,279361,0,0,0
0,266,100,100,0.897779,191964,31711.9,198392,724864,856893,190883,276314,0,0,0
0,266,101,101,0.874672,192055,32308.9,197268,685526,864462,197824,289072,0,0,0
0,266,102,102,0.896232,192872,32193.7,198163,685963,842205,194367,280011,0,0,0
0,266,103,103,0.859452,192345,33064.6,198909,693627,837467,192477,278700,0,0,0
0,266,104,104,0.859923,192823,32244.3,197846,699121,1.00101e+06,196316,325907,0,0,0
0,266,105,105,0.831284,192318,32427.1,196014,700206,940915,199820,308927,0,0,0
0,266,107,107,0.848585,192944,32023.6,199216,687311,842306,201919,282331,0,0,0
0,266,108,108,0.857572,192379,33615.3,197316,694986,849322,197177,287174,0,0,0
0,266,109,109,0.839587,192476,32240.6,196718,755269,1.17874e+06,196458,376606,0,0,0
0,266,111,111,0.858076,192449,31815.9,197542,691577,1.18308e+06,201699,395111,0,0,0
0,266,112,112,0.786845,192983,33821.6,199256,691291,871067,202849,287530,0,0,0
0,266,113,113,0.883254,192887,33067.8,200044,699788,1.02639e+06,195958,334527,0,0,0
0,266,114,114,0.791263,192317,32961.9,198915,710890,885728,202201,293039,0,0,0
0,266,116,116,0.890372,192804,31547.4,196844,695299,842389,199269,282094,0,0,0
0,266,117,117,0.788756,192883,32776.8,199566,690494,862558,207382,288260,0,0,0
0,266,118,118,0.917278,191975,31637.4,197717,690139,841483,195794,281696,0,0,0
0,266,119,119,0.87271,193008,32504.6,197504,689058,838489,193234,281750,0,0,0
0,266,120,120,0.812767,192206,32233.9,196932,698873,994522,206320,325359,0,0,0
0,266,121,121,0.888673,192650,31890.2,197179,705291,842310,197733,281472,0,0,0
0,266,122,122,0.855386,192304,33739.2,196194,687497,838185,199374,280266,0,0,0
0,266,123,123,0.838656,193183,32480.5,200664,693135,842077,198824,278042,0,0,0
0,266,124,124,0.833436,192495,32571.9,198623,687266,848312,201258,280394,0,0,0
0,266,125,125,0.845685,192123,32969.4,199437,696222,836863,195491,282054,0,0,0
0,266,126,126,0.85011,192400,32290.6,196989,690823,839645,201301,280431,0,0,0
0,266,127,127,0.833217,191613,33674.7,198229,704299,851780,197652,278435,0,0,0
0,266,128,128,0.885257,192530,32897,197931,690627,839433,196392,280446,0,0,0
0,266,129,129,0.829847,192259,32955.3,198497,688201,869143,197616,285941,0,0,0
0,266,130,130,0.850803,191988,32366.2,197160,685952,925649,200671,306631,0,0,0
0,266,131,131,0.882646,191727,31917.9,197724,686183,1.02995e+06,198768,335993,0,0,0
0,266,132,132,0.859261,192529,33030.9,196750,696628,847439,198714,284396,0,0,0
0,266,133,133,0.774562,192955,31759.3,197953,690773,858420,209444,283902,0,0,0
0,266,134,134,0.869288,192023,31417,200155,700842,862323,197024,283757,0,0,0
0,266,135,135,0.820567,193224,31161.8,199170,694485,850639,200484,281348,0,0,0
0,266,136,136,0.878841,192482,31905.9,197746,687405,1.05272e+06,196804,346279,0,0,0
0,266,137,137,0.837609,192403,32318.6,198430,693711,849285,203038,286317,0,0,0
0,266,138,138,0.867651,192149,32640.2,197617,686927,1.03136e+06,197087,342509,0,0,0
0,266,139,139,0.853364,192996,32380.3,199767,692820,854732,197466,281267,0,0,0
0,266,140,140,0.817911,191764,33431.6,197655,694487,840477,198776,282499,0,0,0
0,266,141,141,0.826809,192731,32703.7,198850,689925,888720,197373,296492,0,0,0
0,266,142,142,0.830196,191603,32497,198260,694903,845596,202800,281054,0,0,0
0,266,143,143,0.843221,192640,33955.9,197031,689795,842006,201474,279762,0,0,0
0,266,144,144,0.870449,191554,33120.1,197536,685935,983839,192686,319357,0,0,0
0,266,145,145,0.851983,193215,32715.7,199248,686803,826127,191398,276313,0,0,0
0,266,146,146,0.896781,193092,33538.8,198353,687141,843652,193377,283219,0,0,0
0,266,147,147,0.783208,192655,31795.6,199387,743583,873381,210636,279056,0,0,0
0,266,148,148,0.802355,192276,32129.7,196990,695012,860090,203554,281477,0,0,0
0,266,149,149,0.799453,192942,32895,198682,691063,840806,203948,281439,0,0,0
0,266,150,150,0.834386,192818,32435.4,199544,704648,862062,198932,282427,0,0,0
0,266,151,151,0.834635,192230,33416.6,197866,700992,988499,204244,328862,0,0,0
0,266,152,152,0.903643,192718,31408.3,199727,695840,859357,197266,287140,0,0,0
0,266,154,154,0.869352,191993,32246.2,198559,687243,875991,199221,290671,0,0,0
0,266,155,155,0.858092,191822,32197.4,200345,706983,947976,199330,312851,0,0,0
0,266,156,156,0.731445,192453,32750.6,198245,687627,981104,201638,322969,0,0,0
0,266,157,157,0.800291,192092,34401.1,197870,704065,852900,202028,283966,0,0,0
0,266,158,158,0.831415,192359,32183.9,198073,724811,857088,205035,282889,0,0,0
0,266,160,160,0.801919,192137,31883.5,197319,692268,850729,199848,278575,0,0,0
0,266,161,161,0.908796,192443,31880.4,196622,707150,973780,196396,316908,0,0,0
0,266,162,162,0.894929,191792,32372,197856,685692,892579,194574,297255,0,0,0
0,266,163,163,0.902445,191416,31359,197526,687360,844878,197648,279051,0,0,0
0,266,164,164,0.848287,192458,32571.6,199424,696334,1.01435e+06,199382,336427,0,0,0
0,266,165,165,0.882467,192023,33939.9,198215,694401,837934,192022,274808,0,0,0
0,266,166,166,0.779961,192205,32924.3,198431,723054,863507,206469,283991,0,0,0
0,266,168,168,0.809112,192534,32738.9,197269,690842,853893,201436,287117,0,0,0
0,266,169,169,0.847748,192328,32392.8,196986,718262,852774,201893,281814,0,0,0
0,266,171,171,0.781749,192498,33030.8,197300,694269,1.08812e+06,203317,357013,0,0,0
0,266,172,172,0.830597,192305,31417,198253,711693,855736,203274,279170,0,0,0
0,266,173,173,0.758328,192727,31790.1,198654,706338,854263,211595,284843,0,0,0
0,266,174,174,0.872465,193044,31787.6,197311,693050,1.09387e+06,194678,363355,0,0,0
0,266,175,175,0.809408,192583,33139.7,199163,694780,850782,204676,282808,0,0,0
0,266,176,176,0.77633,192020,33124.7,198603,689469,868752,205484,288062,0,0,0
0,266,177,177,0.894416,192517,31109.1,198531,695180,854452,200360,281030,0,0,0
0,266,178,178,0.921806,192332,32577.6,197530,711034,1.13855e+06,194805,366973,0,0,0
0,266,179,179,0.90134,192528,33321.3,197851,685588,863910,195073,285958,0,0,0
0,266,180,180,0.876089,192398,32939,197427,694335,840218,193435,279374,0,0,0
0,266,181,181,0.865331,191875,32343,197706,690499,906791,200875,299332,0,0,0
0,266,182,182,0.868241,192632,31653.5,198475,690445,985335,200751,327133,0,0,0
0,266,184,184,0.859322,192749,31828.1,197589,695072,969393,198311,318394,0,0,0
0,266,185,185,0.817706,192356,31585.1,195983,684265,895089,202610,291175,0,0,0
0,266,186,186,0.837593,192611,32709.4,197825,691157,908346,198103,300444,0,0,0
0,266,187,187,0.870345,192985,31822.5,199115,687663,866349,194650,288538,0,0,0
0,266,188,188,0.841407,192314,32227.2,199245,688359,837157,197185,278526,0,0,0
0,266,189,189,0.836263,191986,33072.5,197735,685195,889770,196700,295345,0,0,0
0,266,190,190,0.855979,192488,34006.5,198574,688592,848729,198681,279151,0,0,0
0,266,191,191,0.814618,192092,31874.9,198958,696334,847026,207231,282689,0,0,0
0,266,192,192,0.862587,192803,31718.8,199822,688761,994550,193218,324601,0,0,0
0,266,193,193,0.784899,192071,30971.1,199493,699172,852150,203226,281227,0,0,0
0,266,194,194,0.763573,192580,34404.4,199483,695329,846971,208299,282854,0,0,0
0,266,195,195,0.861222,192180,33200.8,198450,688426,834509,197500,277569,0,0,0
0,266,196,196,0.865066,192581,32305.6,198430,692307,864134,194171,290914,0,0,0
0,266,197,197,0.868066,192320,33581.3,197420,684510,1.02279e+06,194158,334259,0,0,0
0,266,198,198,0.819068,193300,32431.4,199567,704471,851918,199088,287330,0,0,0
0,266,199,199,0.831497,192666,33327.3,199261,689135,844224,199832,283801,0,0,0
0,266,200,200,0.827931,192399,33501,198458,702262,946216,198639,312253,0,0,0
0,266,201,201,0.848214,191991,33628.7,198020,693550,1.08902e+06,196543,356326,0,0,0
0,266,202,202,0.797575,192998,32319.6,198430,692171,832702,199648,280691,0,0,0
0,266,203,203,0.876622,192454,31973.4,198632,688314,832504,194894,280133,0,0,0
0,266,204,204,0.825998,191613,33409.2,196388,724844,877074,205586,287387,0,0,0
0,266,205,205,0.885363,192684,31702.8,200899,693727,1.02586e+06,198719,334240,0,0,0
0,266,206,206,0.863945,192917,32932.5,199590,689598,864976,199381,286608,0,0,0
0,266,207,207,0.885387,192512,31810.7,198068,686886,932638,194443,307268,0,0,0
0,266,208,208,0.877137,192765,34332.9,197742,688820,994584,194303,330721,0,0,0
0,266,209,209,0.853957,192112,32652.3,198299,691916,849754,198326,279351,0,0,0
0,266,210,210,0.795882,191835,33160.9,196802,685023,846313,202825,281434,0,0,0
0,266,211,211,0.799243,192461,33841.3,197259,698299,860449,206591,284307,0,0,0
0,266,212,212,0.871161,192175,31441.6,198746,694966,849701,199416,280291,0,0,0
0,266,213,213,0.841314,192070,34028.2,196940,696860,843553,200128,282237,0,0,0
0,266,214,214,0.839174,192012,32081.8,197449,701844,926728,202902,308390,0,0,0
0,266,215,215,0.888678,192484,31955.1,197497,709852,976614,193720,318720,0,0,0
0,266,216,216,0.866013,192044,32725.8,197893,710355,927960,194077,298451,0,0,0
0,266,217,217,0.863155,192018,32645.3,198160,692338,837227,195616,277097,0,0,0
0,266,218,218,0.862612,192519,31704.9,199551,690169,831263,197182,281306,0,0,0
0,266,219,219,0.904086,192049,31173.9,197376,690904,836285,195012,277950,0,0,0
0,266,223,223,0.917085,192565,31669.2,199456,688242,874218,195304,284508,0,0,0
0,266,224,224,0.856958,192191,31706.2,198376,698590,853783,197242,282405,0,0,0
0,266,225,225,0.808007,192426,33440.9,196813,690604,942925,203395,312190,0,0,0
0,266,226,226,0.886377,192520,33084.9,199238,699025,846982,193001,279028,0,0,0
0,266,227,227,0.863221,192428,31661,198201,687238,1.09e+06,200140,360047,0,0,0
0,266,228,228,0.864223,192139,33348.6,198885,690228,846574,198387,280809,0,0,0
0,266,229,229,0.871664,192979,33536.1,199008,688627,852768,198558,286551,0,0,0
0,266,230,230,0.807911,192455,31726.9,196900,689886,886089,208244,292702,0,0,0
0,266,231,231,0.881808,192446,33611.9,197245,690678,894071,193340,296559,0,0,0
0,266,232,232,0.855141,192518,32153.7,198033,685146,837994,202961,278790,0,0,0
0,266,233,233,0.837318,192489,31549.8,199492,685089,901370,195255,295364,0,0,0
0,266,235,235,0.865394,193376,32847.1,198372,701445,906482,194902,297202,0,0,0
0,266,236,236,0.837954,193108,31434.9,196004,684402,841759,200551,282478,0,0,0
0,266,237,237,0.840739,191796,32464.4,198541,716410,869463,203600,285269,0,0,0
0,266,238,238,0.855303,193293,32150.5,198309,690100,863360,196388,290141,0,0,0
0,266,239,239,0.877375,192383,32920.1,198284,686127,836618,196676,280930,0,0,0
0,266,240,240,0.876434,192439,32568.2,197498,691288,839100,198425,281309,0,0,0
0,266,241,241,0.837148,192623,33241.2,199213,725363,851704,201368,283880,0,0,0
0,266,243,243,0.787093,193214,31488.2,198488,695702,878871,206601,291828,0,0,0
0,266,244,244,0.828995,192954,32509.2,197006,712885,851165,204736,283173,0,0,0
0,266,245,245,0.85153,192324,32335.3,197519,690624,834192,200269,283224,0,0,0
0,266,247,247,0.837822,192777,31413.3,198727,686983,851767,205543,283390,0,0,0
0,266,248,248,0.84974,192374,33437.4,198005,688362,946952,197529,311361,0,0,0
0,266,249,249,0.852549,192318,32440.1,199260,694042,849556,198456,288327,0,0,0
0,266,250,250,0.821417,191908,33140.1,197039,685934,844540,200460,282585,0,0,0
0,266,252,252,0.846276,192427,32674.7,197162,690507,842890,201870,283048,0,0,0
0,266,253,253,0.882303,192367,33204.2,197728,688630,940747,194108,306969,0,0,0
0,266,254,254,0.792582,193062,33568.4,198448,704935,896477,202709,295660,0,0,0
0,266,255,255,0.883051,191918,31544.1,195662,699493,971060,193522,316625,0,0,0
0,266,256,256,0.887912,192235,31817.4,197433,747372,1.08853e+06,196605,346093,0,0,0
0,266,257,257,0.838045,192538,32797.5,197838,699790,847644,204333,283153,0,0,0
0,266,258,258,0.863572,192573,31355.9,198560,695870,843355,196796,277859,0,0,0
0,266,259,259,0.868939,192451,33342.3,197197,690044,858539,194535,286667,0,0,0
0,266,260,260,0.832491,191878,32566.8,199091,694876,848743,199734,279586,0,0,0
0,266,261,261,0.839322,192078,34050.3,197762,695470,840696,198476,281294,0,0,0
0,266,262,262,0.870876,192563,31996.5,199181,690598,845860,199785,284025,0,0,0
0,266,263,263,0.810219,192550,32631.3,199159,688436,843064,204721,284545,0,0,0
